path,robots,adsense,effective_units,text_length
about.html,"index, follow",False,833,2572
base64/index.html,"index, follow",True,1730,11297
base64-encoding-guide.html,"index, follow",True,1404,2563
base64-is-not-encryption.html,"index, follow",True,1232,2003
base64-padding-error-guide.html,"index, follow",True,1146,1981
base64-unicode-btoa-atob-guide.html,"index, follow",True,1230,2143
base64url-vs-base64-guide.html,"index, follow",True,1114,2104
calculator/index.html,"index, follow",True,1633,11351
calculator-guide.html,"index, follow",True,1166,1672
contact.html,"index, follow",False,808,2413
disclaimer.html,"index, follow",False,813,2357
encodeuri-vs-encodeuricomponent.html,"index, follow",True,1103,2069
formatjs/index.html,"index, follow",True,1680,11550
guides.html,"index, follow",True,2380,3804
index.html,"index, follow",True,2019,4095
javascript-formatter-guide.html,"index, follow",True,1269,1902
json/index.html,"index, follow",True,1878,12171
json-api-response-debugging-checklist.html,"index, follow",True,1343,2256
json-format-guide.html,"index, follow",True,1439,2251
json-formatter-examples.html,"index, follow",True,2528,3862
json-large-number-precision-guide.html,"index, follow",True,1306,2133
json-stringify-parse-data-loss.html,"index, follow",True,1291,2538
json-trailing-comma-single-quote-errors.html,"index, follow",True,1382,2234
md5/index.html,"index, follow",True,1694,11304
md5-checksum-file-verification.html,"index, follow",True,1042,1645
md5-hash-guide.html,"index, follow",True,1351,1824
priority-tools-guide.html,"index, follow",True,2540,3457
privacy.html,"index, follow",False,820,2686
regex/index.html,"index, follow",True,1704,11166
regex-capture-group-debugging.html,"index, follow",True,1090,1631
regex-greedy-lazy-quantifier-guide.html,"index, follow",True,1110,1657
regex-javascript-flags-guide.html,"index, follow",True,1003,1919
regex-tester-guide.html,"index, follow",True,1350,2088
release-copy-paste-review-checklist.html,"index, follow",True,1168,1742
terms.html,"index, follow",False,858,2333
text-count-guide.html,"index, follow",True,1254,1697
text-diff-guide.html,"index, follow",True,1320,1947
text-diff-whitespace-line-ending-guide.html,"index, follow",True,1152,1644
textdiff/index.html,"index, follow",True,1682,11095
timezone-log-debugging-guide.html,"index, follow",True,1077,1587
txtcount/index.html,"index, follow",True,1682,11219
unix-time-guide.html,"index, follow",True,1297,1848
unix-timestamp-seconds-vs-milliseconds.html,"index, follow",True,1002,1735
unixtime/index.html,"index, follow",True,1724,11353
url-double-encoding-debugging.html,"index, follow",True,1190,1853
url-encoding-guide.html,"index, follow",True,1335,2209
url-plus-vs-percent20-guide.html,"index, follow",True,1124,1898
url-query-parameter-encoding-guide.html,"index, follow",True,1121,2071
urlencode/index.html,"index, follow",True,1722,11352
